country,continent,iso3
US,North America,USA
GB,Europe,GBR
BR,South America,BRA
IT,Europe,ITA
CN,Asia,CHN
FR,Europe,FRA
CA,North America,CAN
SE,Europe,SWE
ZA,Africa,ZAF
AU,Oceania,AUS
DE,Europe,DEU
GR,Europe,GRC
TN,Africa,TUN
NL,Europe,NLD
JP,Asia,JPN
ZW,Africa,ZWE
VN,Asia,VNM
BE,Europe,BEL
CU,North America,CUB
CZ,Europe,CZE
CR,North America,CRI
NZ,Oceania,NZL
IN,Asia,IND
KE,Africa,KEN
HU,Europe,HUN
ES,Europe,ESP
DK,Europe,DNK
AE,Asia,ARE
SY,Asia,SYR
TZ,Africa,TZA
ZM,Africa,ZMB
KR,Asia,KOR
ML,Africa,MLI
CH,Europe,CHE
NE,Africa,NER
SL,Africa,SLE
ID,Asia,IDN
SG,Asia,SGP
UG,Africa,UGA
NO,Europe,NOR
IR,Asia,IRN
AT,Europe,AUT
IL,Asia,ISR
AR,South America,ARG
HN,North America,HND
IE,Europe,IRL
TW,Asia,TWN
BD,Asia,BGD
PS,Asia,PSE
RS,Europe,SRB
KH,Asia,KHM
EE,Europe,EST
TH,Asia,THA
TD,Africa,TCD
FI,Europe,FIN
TR,Asia,TUR
DO,North America,DOM
PK,Asia,PAK
NG,Africa,NGA
UA,Europe,UKR
MW,Africa,MWI
RW,Africa,RWA
HT,North America,HTI
PH,Asia,PHL
EG,Africa,EGY
MY,Asia,MYS
BF,Africa,BFA
PL,Europe,POL
RU,Europe,RUS
ET,Africa,ETH
MX,North America,MEX
GH,Africa,GHA
CM,Africa,CMR
JO,Asia,JOR
LK,Asia,LKA
GF,South America,GUF
PG,Oceania,PNG
CG,Africa,COG
LS,Africa,LSO
RO,Europe,ROU
CL,South America,CHL
PT,Europe,PRT
CO,South America,COL
EC,South America,ECU
IS,Europe,ISL
BB,North America,BRB
MA,Africa,MAR
LB,Asia,LBN
HR,Europe,HRV
QA,Asia,QAT
NF,Oceania,NFK
JM,North America,JAM
BG,Europe,BGR
GM,Africa,GMB
PE,South America,PER
SA,Asia,SAU
CI,Africa,CIV
NP,Asia,NPL
NI,North America,NIC
NC,Oceania,NCL
LU,Europe,LUX
BA,Europe,BIH
BY,Europe,BLR
SV,North America,SLV
BW,Africa,BWA
MZ,Africa,MOZ
MT,Europe,MLT
CD,Africa,COD
OM,Asia,OMN
MG,Africa,MDG
VE,South America,VEN
GN,Africa,GIN
BO,South America,BOL
GD,North America,GRD
RE,Africa,REU
SN,Africa,SEN
PA,North America,PAN
TO,Oceania,TON
GP,North America,GLP
SK,Europe,SVK
MM,Asia,MMR
BH,Asia,BHR
GT,North America,GTM
SI,Europe,SVN
LT,Europe,LTU
DZ,Africa,DZA
MH,Oceania,MHL
LA,Asia,LAO
UY,South America,URY
MN,Asia,MNG
GW,Africa,GNB
SD,Africa,SDN
LI,Europe,LIE
GY,South America,GUY
LR,Africa,LBR
TT,North America,TTO
GA,Africa,GAB
TJ,Asia,TJK
SZ,Africa,SWZ
AF,Asia,AFG
LV,Europe,LVA
SR,South America,SUR
LY,Africa,LBY
GE,Asia,GEO
FJ,Oceania,FJI
CF,Africa,CAF
MD,Europe,MDA
MQ,North America,MTQ
BJ,Africa,BEN
SS,Africa,SSD
PF,Oceania,PYF
BI,Africa,BDI
UZ,Asia,UZB
AG,North America,ATG
IQ,Asia,IRQ
CW,North America,CUW
MU,Africa,MUS
FM,Oceania,FSM
CY,Asia,CYP
KZ,Asia,KAZ
AO,Africa,AGO
AM,Asia,ARM
KG,Asia,KGZ
KN,North America,KNA
VA,Europe,VAT
IM,Europe,IMN
FO,Europe,FRO
PY,South America,PRY
BS,North America,BHS
YE,Asia,YEM
TG,Africa,TGO
AZ,Asia,AZE
MV,Asia,MDV
TL,Asia,TLS
LC,North America,LCA
BT,Asia,BTN
JE,Europe,JEY
SB,Oceania,SLB
SO,Africa,SOM
AW,North America,ABW
BM,North America,BMU
KW,Asia,KWT
AL,Europe,ALB
MC,Europe,MCO
MK,Europe,MKD
GI,Europe,GIB
SC,Africa,SYC
